Port,Service,Description
27760,,Unassigned
27761,,Unassigned
27762,,Unassigned
27763,,Unassigned
27764,,Unassigned
27765,,Unassigned
27766,,Unassigned
27767,,Unassigned
27768,,Unassigned
27769,,Unassigned
27770,,Unassigned
27771,,Unassigned
27772,,Unassigned
27773,,Unassigned
27774,,Unassigned
27775,,Unassigned
27776,,Unassigned
27777,,Unassigned
27778,,Unassigned
27779,,Unassigned
27780,,Unassigned
27781,,Unassigned
27782,ars-vista,ARS VISTA Application
27783,,Unassigned
27784,,Unassigned
27785,,Unassigned
27786,,Unassigned
27787,,Unassigned
27788,,Unassigned
27789,,Unassigned
27790,,Unassigned
27791,,Unassigned
27792,,Unassigned
27793,,Unassigned
27794,,Unassigned
27795,,Unassigned
27796,,Unassigned
27797,,Unassigned
27798,,Unassigned
27799,,Unassigned
27800,,Unassigned
27801,,Unassigned
27802,,Unassigned
27803,,Unassigned
27804,,Unassigned
27805,,Unassigned
27806,,Unassigned
27807,,Unassigned
27808,,Unassigned
27809,,Unassigned
27810,,Unassigned
27811,,Unassigned
27812,,Unassigned
27813,,Unassigned
27814,,Unassigned
27815,,Unassigned
27816,,Unassigned
27817,,Unassigned
27818,,Unassigned
27819,,Unassigned
27820,,Unassigned
27821,,Unassigned
27822,,Unassigned
27823,,Unassigned
27824,,Unassigned
27825,,Unassigned
27826,,Unassigned
27827,,Unassigned
27828,,Unassigned
27829,,Unassigned
27830,,Unassigned
27831,,Unassigned
27832,,Unassigned
27833,,Unassigned
27834,,Unassigned
27835,,Unassigned
27836,,Unassigned
27837,,Unassigned
27838,,Unassigned
27839,,Unassigned
27840,,Unassigned
27841,,Unassigned
27842,,Unassigned
27843,,Unassigned
27844,,Unassigned
27845,,Unassigned
27846,,Unassigned
27847,,Unassigned
27848,,Unassigned
27849,,Unassigned
27850,,Unassigned
27851,,Unassigned
27852,,Unassigned
27853,,Unassigned
27854,,Unassigned
27855,,Unassigned
27856,,Unassigned
27857,,Unassigned
27858,,Unassigned
27859,,Unassigned
27860,,Unassigned
27861,,Unassigned
27862,,Unassigned
27863,,Unassigned
27864,,Unassigned
27865,,Unassigned
27866,,Unassigned
27867,,Unassigned
27868,,Unassigned
27869,,Unassigned
27870,,Unassigned
27871,,Unassigned
27872,,Unassigned
27873,,Unassigned
27874,,Unassigned
27875,,Unassigned
27876,,Reserved
27877,,Unassigned
27878,,Unassigned
27879,,Unassigned
27880,,Unassigned
27881,,Unassigned
27882,,Unassigned
27883,,Unassigned
27884,,Unassigned
27885,,Unassigned
27886,,Unassigned
27887,,Unassigned
27888,,Unassigned
27889,,Unassigned
27890,,Unassigned
27891,,Unassigned
27892,,Unassigned
27893,,Unassigned
27894,,Unassigned
27895,,Unassigned
27896,,Unassigned
27897,,Unassigned
27898,,Unassigned
27899,,Unassigned
27900,,Unassigned
27901,,Unassigned
27902,,Unassigned
27903,,Unassigned
27904,,Unassigned
27905,,Unassigned
27906,,Unassigned
27907,,Unassigned
27908,,Unassigned
27909,,Unassigned
27910,,Unassigned
27911,,Unassigned
27912,,Unassigned
27913,,Unassigned
27914,,Unassigned
27915,,Unassigned
27916,,Unassigned
27917,,Unassigned
27918,,Unassigned
27919,,Unassigned
27920,,Unassigned
27921,,Unassigned
27922,,Unassigned
27923,,Unassigned
27924,,Unassigned
27925,,Unassigned
27926,,Unassigned
27927,,Unassigned
27928,,Unassigned
27929,,Unassigned
27930,,Unassigned
27931,,Unassigned
27932,,Unassigned
27933,,Unassigned
27934,,Unassigned
27935,,Unassigned
27936,,Unassigned
27937,,Unassigned
27938,,Unassigned
27939,,Unassigned
27940,,Unassigned
27941,,Unassigned
27942,,Unassigned
27943,,Unassigned
27944,,Unassigned
27945,,Unassigned
27946,,Unassigned
27947,,Unassigned
27948,,Unassigned
27949,,Unassigned
27950,,Unassigned
27951,,Unassigned
27952,,Unassigned
27953,,Unassigned
27954,,Unassigned
27955,,Unassigned
27956,,Unassigned
27957,,Unassigned
27958,,Unassigned
27959,,Unassigned
27960,,Unassigned
27961,,Unassigned
27962,,Unassigned
27963,,Unassigned
27964,,Unassigned
27965,,Unassigned
27966,,Unassigned
27967,,Unassigned
27968,,Unassigned
27969,,Unassigned
27970,,Unassigned
27971,,Unassigned
27972,,Unassigned
27973,,Unassigned
27974,,Unassigned
27975,,Unassigned
27976,,Unassigned
27977,,Unassigned
27978,,Unassigned
27979,,Unassigned
27980,,Unassigned
27981,,Unassigned
27982,,Unassigned
27983,,Unassigned
27984,,Unassigned
27985,,Unassigned
27986,,Unassigned
27987,,Unassigned
27988,,Unassigned
27989,,Unassigned
27990,,Unassigned
27991,,Unassigned
27992,,Unassigned
27993,,Unassigned
27994,,Unassigned
27995,,Unassigned
27996,,Unassigned
27997,,Unassigned
27998,,Unassigned
27999,tw-auth-key,Attribute Certificate Services
28000,nxlmd,NX License Manager
28001,,Reserved
28002,,Unassigned
28003,,Unassigned
28004,,Unassigned
28005,,Unassigned
28006,,Unassigned
28007,,Unassigned
28008,,Unassigned
28009,,Unassigned
28010,,Unassigned
28011,,Unassigned
28012,,Unassigned
28013,,Unassigned
28014,,Unassigned
28015,,Unassigned
28016,,Unassigned
28017,,Unassigned
28018,,Unassigned
28019,,Unassigned
28020,,Unassigned
28021,,Unassigned
28022,,Unassigned
28023,,Unassigned
28024,,Unassigned
28025,,Unassigned
28026,,Unassigned
28027,,Unassigned
28028,,Unassigned
28029,,Unassigned
28030,,Unassigned
28031,,Unassigned
28032,,Unassigned
28033,,Unassigned
28034,,Unassigned
28035,,Unassigned
28036,,Unassigned
28037,,Unassigned
28038,,Unassigned
28039,,Unassigned
28040,,Unassigned
28041,,Unassigned
28042,,Unassigned
28043,,Unassigned
28044,,Unassigned
28045,,Unassigned
28046,,Unassigned
28047,,Unassigned
28048,,Unassigned
28049,,Unassigned
28050,,Unassigned
28051,,Unassigned
28052,,Unassigned
28053,,Unassigned
28054,,Unassigned
28055,,Unassigned
28056,,Unassigned
28057,,Unassigned
28058,,Unassigned
28059,,Unassigned
28060,,Unassigned
28061,,Unassigned
28062,,Unassigned
28063,,Unassigned
28064,,Unassigned
28065,,Unassigned
28066,,Unassigned
28067,,Unassigned
28068,,Unassigned
28069,,Unassigned
28070,,Unassigned
28071,,Unassigned
28072,,Unassigned
28073,,Unassigned
28074,,Unassigned
28075,,Unassigned
28076,,Unassigned
28077,,Unassigned
28078,,Unassigned
28079,,Unassigned
28080,,Unassigned
28081,,Unassigned
28082,,Unassigned
28083,,Unassigned
28084,,Unassigned
28085,,Unassigned
28086,,Unassigned
28087,,Unassigned
28088,,Unassigned
28089,,Unassigned
28090,,Unassigned
28091,,Unassigned
28092,,Unassigned
28093,,Unassigned
28094,,Unassigned
28095,,Unassigned
28096,,Unassigned
28097,,Unassigned
28098,,Unassigned
28099,,Unassigned
28100,,Unassigned
28101,,Unassigned
28102,,Unassigned
28103,,Unassigned
28104,,Unassigned
28105,,Unassigned
28106,,Unassigned
28107,,Unassigned
28108,,Unassigned
28109,,Unassigned
28110,,Unassigned
28111,,Unassigned
28112,,Unassigned
28113,,Unassigned
28114,,Unassigned
28115,,Unassigned
28116,,Unassigned
28117,,Unassigned
28118,,Unassigned
28119,a27-ran-ran,A27 cdma2000 RAN Management
28120,,Unassigned
28121,,Unassigned
28122,,Unassigned
28123,,Unassigned
28124,,Unassigned
28125,,Unassigned
28126,,Unassigned
28127,,Unassigned
28128,,Unassigned
28129,,Unassigned
28130,,Unassigned
28131,,Unassigned
28132,,Unassigned
28133,,Unassigned
28134,,Unassigned
28135,,Unassigned
28136,,Unassigned
28137,,Unassigned
28138,,Unassigned
28139,,Unassigned
28140,,Unassigned
28141,,Unassigned
28142,,Unassigned
28143,,Unassigned
28144,,Unassigned
28145,,Unassigned
28146,,Unassigned
28147,,Unassigned
28148,,Unassigned
28149,,Unassigned
28150,,Unassigned
28151,,Unassigned
28152,,Unassigned
28153,,Unassigned
28154,,Unassigned
28155,,Unassigned
28156,,Unassigned
28157,,Unassigned
28158,,Unassigned
28159,,Unassigned
28160,,Unassigned
28161,,Unassigned
28162,,Unassigned
28163,,Unassigned
28164,,Unassigned
28165,,Unassigned
28166,,Unassigned
28167,,Unassigned
28168,,Unassigned
28169,,Unassigned
28170,,Unassigned
28171,,Unassigned
28172,,Unassigned
28173,,Unassigned
28174,,Unassigned
28175,,Unassigned
28176,,Unassigned
28177,,Unassigned
28178,,Unassigned
28179,,Unassigned
28180,,Unassigned
28181,,Unassigned
28182,,Unassigned
28183,,Unassigned
28184,,Unassigned
28185,,Unassigned
28186,,Unassigned
28187,,Unassigned
28188,,Unassigned
28189,,Unassigned
28190,,Unassigned
28191,,Unassigned
28192,,Unassigned
28193,,Unassigned
28194,,Unassigned
28195,,Unassigned
28196,,Unassigned
28197,,Unassigned
28198,,Unassigned
28199,,Unassigned
28200,voxelstorm,VoxelStorm game server
28201,,Unassigned
28202,,Unassigned
28203,,Unassigned
28204,,Unassigned
28205,,Unassigned
28206,,Unassigned
28207,,Unassigned
28208,,Unassigned
28209,,Unassigned
28210,,Unassigned
28211,,Unassigned
28212,,Unassigned
28213,,Unassigned
28214,,Unassigned
28215,,Unassigned
28216,,Unassigned
28217,,Unassigned
28218,,Unassigned
28219,,Unassigned
28220,,Unassigned
28221,,Unassigned
28222,,Unassigned
28223,,Unassigned
28224,,Unassigned
28225,,Unassigned
28226,,Unassigned
28227,,Unassigned
28228,,Unassigned
28229,,Unassigned
28230,,Unassigned
28231,,Unassigned
28232,,Unassigned
28233,,Unassigned
28234,,Unassigned
28235,,Unassigned
28236,,Unassigned
28237,,Unassigned
28238,,Unassigned
28239,,Unassigned
28240,siemensgsm,Siemens GSM
28241,,Unassigned
28242,,Unassigned
28243,,Unassigned
28244,,Unassigned
28245,,Unassigned
28246,,Unassigned
28247,,Unassigned
28248,,Unassigned
28249,,Unassigned
28250,,Unassigned
28251,,Unassigned
28252,,Unassigned
28253,,Unassigned
28254,,Unassigned
28255,,Unassigned
28256,,Unassigned
28257,,Unassigned
28258,,Unassigned
28259,,Unassigned
28260,,Unassigned
28261,,Unassigned
28262,,Unassigned
28263,,Unassigned
28264,,Unassigned
28265,,Unassigned
28266,,Unassigned
28267,,Unassigned
28268,,Unassigned
28269,,Unassigned
28270,,Unassigned
28271,,Unassigned
28272,,Unassigned
28273,,Unassigned
28274,,Unassigned
28275,,Unassigned
28276,,Unassigned
28277,,Unassigned
28278,,Unassigned
28279,,Unassigned
28280,,Unassigned
28281,,Unassigned
28282,,Unassigned
28283,,Unassigned
28284,,Unassigned
28285,,Unassigned
28286,,Unassigned
28287,,Unassigned
28288,,Unassigned
28289,,Unassigned
28290,,Unassigned
28291,,Unassigned
28292,,Unassigned
28293,,Unassigned
28294,,Unassigned
28295,,Unassigned
28296,,Unassigned
28297,,Unassigned
28298,,Unassigned
28299,,Unassigned
28300,,Unassigned
28301,,Unassigned
28302,,Unassigned
28303,,Unassigned
28304,,Unassigned
28305,,Unassigned
28306,,Unassigned
28307,,Unassigned
28308,,Unassigned
28309,,Unassigned
28310,,Unassigned
28311,,Unassigned
28312,,Unassigned
28313,,Unassigned
28314,,Unassigned
28315,,Unassigned
28316,,Unassigned
28317,,Unassigned
28318,,Unassigned
28319,,Unassigned
28320,,Unassigned
28321,,Unassigned
28322,,Unassigned
28323,,Unassigned
28324,,Unassigned
28325,,Unassigned
28326,,Unassigned
28327,,Unassigned
28328,,Unassigned
28329,,Unassigned
28330,,Unassigned
28331,,Unassigned
28332,,Unassigned
28333,,Unassigned
28334,,Unassigned
28335,,Unassigned
28336,,Unassigned
28337,,Unassigned
28338,,Unassigned
28339,,Unassigned
28340,,Unassigned
28341,,Unassigned
28342,,Unassigned
28343,,Unassigned
28344,,Unassigned
28345,,Unassigned
28346,,Unassigned
28347,,Unassigned
28348,,Unassigned
28349,,Unassigned
28350,,Unassigned
28351,,Unassigned
28352,,Unassigned
28353,,Unassigned
28354,,Unassigned
28355,,Unassigned
28356,,Unassigned
28357,,Unassigned
28358,,Unassigned
28359,,Unassigned
28360,,Unassigned
28361,,Unassigned
28362,,Unassigned
28363,,Unassigned
28364,,Unassigned
28365,,Unassigned
28366,,Unassigned
28367,,Unassigned
28368,,Unassigned
28369,,Unassigned
28370,,Unassigned
28371,,Unassigned
28372,,Unassigned
28373,,Unassigned
28374,,Unassigned
28375,,Unassigned
28376,,Unassigned
28377,,Unassigned
28378,,Unassigned
28379,,Unassigned
28380,,Unassigned
28381,,Unassigned
28382,,Unassigned
28383,,Unassigned
28384,,Unassigned
28385,,Unassigned
28386,,Unassigned
28387,,Unassigned
28388,,Unassigned
28389,,Unassigned
28390,,Unassigned
28391,,Unassigned
28392,,Unassigned
28393,,Unassigned
28394,,Unassigned
28395,,Unassigned
28396,,Unassigned
28397,,Unassigned
28398,,Unassigned
28399,,Unassigned
28400,,Unassigned
28401,,Unassigned
28402,,Unassigned
28403,,Unassigned
28404,,Unassigned
28405,,Unassigned
28406,,Unassigned
28407,,Unassigned
28408,,Unassigned
28409,,Unassigned
28410,,Unassigned
28411,,Unassigned
28412,,Unassigned
28413,,Unassigned
28414,,Unassigned
28415,,Unassigned
28416,,Unassigned
28417,,Unassigned
28418,,Unassigned
28419,,Unassigned
28420,,Unassigned
28421,,Unassigned
28422,,Unassigned
28423,,Unassigned
28424,,Unassigned
28425,,Unassigned
28426,,Unassigned
28427,,Unassigned
28428,,Unassigned
28429,,Unassigned
28430,,Unassigned
28431,,Unassigned
28432,,Unassigned
28433,,Unassigned
28434,,Unassigned
28435,,Unassigned
28436,,Unassigned
28437,,Unassigned
28438,,Unassigned
28439,,Unassigned
28440,,Unassigned
28441,,Unassigned
28442,,Unassigned
28443,,Unassigned
28444,,Unassigned
28445,,Unassigned
28446,,Unassigned
28447,,Unassigned
28448,,Unassigned
28449,,Unassigned
28450,,Unassigned
28451,,Unassigned
28452,,Unassigned
28453,,Unassigned
28454,,Unassigned
28455,,Unassigned
28456,,Unassigned
28457,,Unassigned
28458,,Unassigned
28459,,Unassigned
28460,,Unassigned
28461,,Unassigned
28462,,Unassigned
28463,,Unassigned
28464,,Unassigned
28465,,Unassigned
28466,,Unassigned
28467,,Unassigned
28468,,Unassigned
28469,,Unassigned
28470,,Unassigned
28471,,Unassigned
28472,,Unassigned
28473,,Unassigned
28474,,Unassigned
28475,,Unassigned
28476,,Unassigned
28477,,Unassigned
28478,,Unassigned
28479,,Unassigned
28480,,Unassigned
28481,,Unassigned
28482,,Unassigned
28483,,Unassigned
28484,,Unassigned
28485,,Unassigned
28486,,Unassigned
28487,,Unassigned
28488,,Unassigned
28489,,Unassigned
28490,,Unassigned
28491,,Unassigned
28492,,Unassigned
28493,,Unassigned
28494,,Unassigned
28495,,Unassigned
28496,,Unassigned
28497,,Unassigned
28498,,Unassigned
28499,,Unassigned
28500,,Unassigned
28501,,Unassigned
28502,,Unassigned
28503,,Unassigned
28504,,Unassigned
28505,,Unassigned
28506,,Unassigned
28507,,Unassigned
28508,,Unassigned
28509,,Unassigned
28510,,Unassigned
28511,,Unassigned
28512,,Unassigned
28513,,Unassigned
28514,,Unassigned
28515,,Unassigned
28516,,Unassigned
28517,,Unassigned
28518,,Unassigned
28519,,Unassigned
28520,,Unassigned
28521,,Unassigned
28522,,Unassigned
28523,,Unassigned
28524,,Unassigned
28525,,Unassigned
28526,,Unassigned
28527,,Unassigned
28528,,Unassigned
28529,,Unassigned
28530,,Unassigned
28531,,Unassigned
28532,,Unassigned
28533,,Unassigned
28534,,Unassigned
28535,,Unassigned
28536,,Unassigned
28537,,Unassigned
28538,,Unassigned
28539,,Unassigned
28540,,Unassigned
28541,,Unassigned
28542,,Unassigned
28543,,Unassigned
28544,,Unassigned
28545,,Unassigned
28546,,Unassigned
28547,,Unassigned
28548,,Unassigned
28549,,Unassigned
28550,,Unassigned
28551,,Unassigned
28552,,Unassigned
28553,,Unassigned
28554,,Unassigned
28555,,Unassigned
28556,,Unassigned
28557,,Unassigned
28558,,Unassigned
28559,,Unassigned
28560,,Unassigned
28561,,Unassigned
28562,,Unassigned
28563,,Unassigned
28564,,Unassigned
28565,,Unassigned
28566,,Unassigned
28567,,Unassigned
28568,,Unassigned
28569,,Unassigned
28570,,Unassigned
28571,,Unassigned
28572,,Unassigned
28573,,Unassigned
28574,,Unassigned
28575,,Unassigned
28576,,Unassigned
28577,,Unassigned
28578,,Unassigned
28579,,Unassigned
28580,,Unassigned
28581,,Unassigned
28582,,Unassigned
28583,,Unassigned
28584,,Unassigned
28585,,Unassigned
28586,,Unassigned
28587,,Unassigned
28588,,Unassigned
28589,,Reserved
28590,,Unassigned
28591,,Unassigned
28592,,Unassigned
28593,,Unassigned
28594,,Unassigned
28595,,Unassigned
28596,,Unassigned
28597,,Unassigned
28598,,Unassigned
28599,,Unassigned
28600,,Unassigned
28601,,Unassigned
28602,,Unassigned
28603,,Unassigned
28604,,Unassigned
28605,,Unassigned
28606,,Unassigned
28607,,Unassigned
28608,,Unassigned
28609,,Unassigned
28610,,Unassigned
28611,,Unassigned
28612,,Unassigned
28613,,Unassigned
28614,,Unassigned
28615,,Unassigned
28616,,Unassigned
28617,,Unassigned
28618,,Unassigned
28619,,Unassigned
28620,,Unassigned
28621,,Unassigned
28622,,Unassigned
28623,,Unassigned
28624,,Unassigned
28625,,Unassigned
28626,,Unassigned
28627,,Unassigned
28628,,Unassigned
28629,,Unassigned
28630,,Unassigned
28631,,Unassigned
28632,,Unassigned
28633,,Unassigned
28634,,Unassigned
28635,,Unassigned
28636,,Unassigned
28637,,Unassigned
28638,,Unassigned
28639,,Unassigned
28640,,Unassigned
28641,,Unassigned
28642,,Unassigned
28643,,Unassigned
28644,,Unassigned
28645,,Unassigned
28646,,Unassigned
28647,,Unassigned
28648,,Unassigned
28649,,Unassigned
28650,,Unassigned
28651,,Unassigned
28652,,Unassigned
28653,,Unassigned
28654,,Unassigned
28655,,Unassigned
28656,,Unassigned
28657,,Unassigned
28658,,Unassigned
28659,,Unassigned
28660,,Unassigned
28661,,Unassigned
28662,,Unassigned
28663,,Unassigned
28664,,Unassigned
28665,,Unassigned
28666,,Unassigned
28667,,Unassigned
28668,,Unassigned
28669,,Unassigned
28670,,Unassigned
28671,,Unassigned
28672,,Unassigned
28673,,Unassigned
28674,,Unassigned
28675,,Unassigned
28676,,Unassigned
28677,,Unassigned
28678,,Unassigned
28679,,Unassigned
28680,,Unassigned
28681,,Unassigned
28682,,Unassigned
28683,,Unassigned
28684,,Unassigned
28685,,Unassigned
28686,,Unassigned
28687,,Unassigned
28688,,Unassigned
28689,,Unassigned
28690,,Unassigned
28691,,Unassigned
28692,,Unassigned
28693,,Unassigned
28694,,Unassigned
28695,,Unassigned
28696,,Unassigned
28697,,Unassigned
28698,,Unassigned
28699,,Unassigned
28700,,Unassigned
28701,,Unassigned
28702,,Unassigned
28703,,Unassigned
28704,,Unassigned
28705,,Unassigned
28706,,Unassigned
28707,,Unassigned
28708,,Unassigned
28709,,Unassigned
28710,,Unassigned
28711,,Unassigned
28712,,Unassigned
28713,,Unassigned
28714,,Unassigned
28715,,Unassigned
28716,,Unassigned
28717,,Unassigned
28718,,Unassigned
28719,,Unassigned
28720,,Unassigned
28721,,Unassigned
28722,,Unassigned
28723,,Unassigned
28724,,Unassigned
28725,,Unassigned
28726,,Unassigned
28727,,Unassigned
28728,,Unassigned
28729,,Unassigned
28730,,Unassigned
28731,,Unassigned
28732,,Unassigned
28733,,Unassigned
28734,,Unassigned
28735,,Unassigned
28736,,Unassigned
28737,,Unassigned
28738,,Unassigned
28739,,Unassigned
28740,,Unassigned
28741,,Unassigned
28742,,Unassigned
28743,,Unassigned
28744,,Unassigned
28745,,Unassigned
28746,,Unassigned
28747,,Unassigned
28748,,Unassigned
28749,,Unassigned
28750,,Unassigned
28751,,Unassigned
28752,,Unassigned
28753,,Unassigned
28754,,Unassigned
28755,,Unassigned
28756,,Unassigned
28757,,Unassigned
28758,,Unassigned
28759,,Unassigned
28760,,Unassigned
28761,,Unassigned
28762,,Unassigned
28763,,Unassigned
28764,,Unassigned
28765,,Unassigned
28766,,Unassigned
28767,,Unassigned
28768,,Unassigned
28769,,Unassigned
28770,,Unassigned
28771,,Unassigned
28772,,Unassigned
28773,,Unassigned
28774,,Unassigned
28775,,Unassigned
28776,,Unassigned
28777,,Unassigned
28778,,Unassigned
28779,,Unassigned
28780,,Unassigned
28781,,Unassigned
28782,,Unassigned
28783,,Unassigned
28784,,Unassigned
28785,,Unassigned
28786,,Unassigned
28787,,Unassigned
28788,,Unassigned
28789,,Unassigned
28790,,Unassigned
28791,,Unassigned
28792,,Unassigned
28793,,Unassigned
28794,,Unassigned
28795,,Unassigned
28796,,Unassigned
28797,,Unassigned
28798,,Unassigned
28799,,Unassigned
28800,,Unassigned
28801,,Unassigned
28802,,Unassigned
28803,,Unassigned
28804,,Unassigned
28805,,Unassigned
28806,,Unassigned
28807,,Unassigned
28808,,Unassigned
28809,,Unassigned
28810,,Unassigned
28811,,Unassigned
28812,,Unassigned
28813,,Unassigned
28814,,Unassigned
28815,,Unassigned
28816,,Unassigned
28817,,Unassigned
28818,,Unassigned
28819,,Unassigned
28820,,Unassigned
28821,,Unassigned
28822,,Unassigned
28823,,Unassigned
28824,,Unassigned
28825,,Unassigned
28826,,Unassigned
28827,,Unassigned
28828,,Unassigned
28829,,Unassigned
28830,,Unassigned
28831,,Unassigned
28832,,Unassigned
28833,,Unassigned
28834,,Unassigned
28835,,Unassigned
28836,,Unassigned
28837,,Unassigned
28838,,Unassigned
28839,,Unassigned
28840,,Unassigned
28841,,Unassigned
28842,,Unassigned
28843,,Unassigned
28844,,Unassigned
28845,,Unassigned
28846,,Unassigned
28847,,Unassigned
28848,,Unassigned
28849,,Unassigned
28850,,Unassigned
28851,,Unassigned
28852,,Unassigned
28853,,Unassigned
28854,,Unassigned
28855,,Unassigned
28856,,Unassigned
28857,,Unassigned
28858,,Unassigned
28859,,Unassigned
28860,,Unassigned
28861,,Unassigned
28862,,Unassigned
28863,,Unassigned
28864,,Unassigned
28865,,Unassigned
28866,,Unassigned
28867,,Unassigned
28868,,Unassigned
28869,,Unassigned
28870,,Unassigned
28871,,Unassigned
28872,,Unassigned
28873,,Unassigned
28874,,Unassigned
28875,,Unassigned
28876,,Unassigned
28877,,Unassigned
28878,,Unassigned
28879,,Unassigned
28880,,Unassigned
28881,,Unassigned
28882,,Unassigned
28883,,Unassigned
28884,,Unassigned
28885,,Unassigned
28886,,Unassigned
28887,,Unassigned
28888,,Unassigned
28889,,Unassigned
28890,,Unassigned
28891,,Unassigned
28892,,Unassigned
28893,,Unassigned
28894,,Unassigned
28895,,Unassigned
28896,,Unassigned
28897,,Unassigned
28898,,Unassigned
28899,,Unassigned
28900,,Unassigned
28901,,Unassigned
28902,,Unassigned
28903,,Unassigned
28904,,Unassigned
28905,,Unassigned
28906,,Unassigned
28907,,Unassigned
28908,,Unassigned
28909,,Unassigned
28910,,Unassigned
28911,,Unassigned
28912,,Unassigned
28913,,Unassigned
28914,,Unassigned
28915,,Unassigned
28916,,Unassigned
28917,,Unassigned
28918,,Unassigned
28919,,Unassigned
28920,,Unassigned
28921,,Unassigned
28922,,Unassigned
28923,,Unassigned
28924,,Unassigned
28925,,Unassigned
28926,,Unassigned
28927,,Unassigned
28928,,Unassigned
28929,,Unassigned
28930,,Unassigned
28931,,Unassigned
28932,,Unassigned
28933,,Unassigned
28934,,Unassigned
28935,,Unassigned
28936,,Unassigned
28937,,Unassigned
28938,,Unassigned
28939,,Unassigned
28940,,Unassigned
28941,,Unassigned
28942,,Unassigned
28943,,Unassigned
28944,,Unassigned
28945,,Unassigned
28946,,Unassigned
28947,,Unassigned
28948,,Unassigned
28949,,Unassigned
28950,,Unassigned
28951,,Unassigned
28952,,Unassigned
28953,,Unassigned
28954,,Unassigned
28955,,Unassigned
28956,,Unassigned
28957,,Unassigned
28958,,Unassigned
28959,,Unassigned
28960,,Unassigned
28961,,Unassigned
28962,,Unassigned
28963,,Unassigned
28964,,Unassigned
28965,,Unassigned
28966,,Unassigned
28967,,Unassigned
28968,,Unassigned
28969,,Unassigned
28970,,Unassigned
28971,,Unassigned
28972,,Unassigned
28973,,Unassigned
28974,,Unassigned
28975,,Unassigned
28976,,Unassigned
28977,,Unassigned
28978,,Unassigned
28979,,Unassigned
28980,,Unassigned
28981,,Unassigned
28982,,Unassigned
28983,,Unassigned
28984,,Unassigned
28985,,Unassigned
28986,,Unassigned
28987,,Unassigned
28988,,Unassigned
28989,,Unassigned
28990,,Unassigned
28991,,Unassigned
28992,,Unassigned
28993,,Unassigned
28994,,Unassigned
28995,,Unassigned
28996,,Unassigned
28997,,Unassigned
28998,,Unassigned
28999,,Unassigned
29000,,Unassigned
29001,,Unassigned
29002,,Unassigned
29003,,Unassigned
29004,,Unassigned
29005,,Unassigned
29006,,Unassigned
29007,,Unassigned
29008,,Unassigned
29009,,Unassigned
29010,,Unassigned
29011,,Unassigned
29012,,Unassigned
29013,,Unassigned
29014,,Unassigned
29015,,Unassigned
29016,,Unassigned
29017,,Unassigned
29018,,Unassigned
29019,,Unassigned
29020,,Unassigned
29021,,Unassigned
29022,,Unassigned
29023,,Unassigned
29024,,Unassigned
29025,,Unassigned
29026,,Unassigned
29027,,Unassigned
29028,,Unassigned
29029,,Unassigned
29030,,Unassigned
29031,,Unassigned
29032,,Unassigned
29033,,Unassigned
29034,,Unassigned
29035,,Unassigned
29036,,Unassigned
29037,,Unassigned
29038,,Unassigned
29039,,Unassigned
29040,,Unassigned
29041,,Unassigned
29042,,Unassigned
29043,,Unassigned
29044,,Unassigned
29045,,Unassigned
29046,,Unassigned
29047,,Unassigned
29048,,Unassigned
29049,,Unassigned
29050,,Unassigned
29051,,Unassigned
29052,,Unassigned
29053,,Unassigned
29054,,Unassigned
29055,,Unassigned
29056,,Unassigned
29057,,Unassigned
29058,,Unassigned
29059,,Unassigned
29060,,Unassigned
29061,,Unassigned
29062,,Unassigned
29063,,Unassigned
29064,,Unassigned
29065,,Unassigned
29066,,Unassigned
29067,,Unassigned
29068,,Unassigned
29069,,Unassigned
29070,,Unassigned
29071,,Unassigned
29072,,Unassigned
29073,,Unassigned
29074,,Unassigned
29075,,Unassigned
29076,,Unassigned
29077,,Unassigned
29078,,Unassigned
29079,,Unassigned
29080,,Unassigned
29081,,Unassigned
29082,,Unassigned
29083,,Unassigned
29084,,Unassigned
29085,,Unassigned
29086,,Unassigned
29087,,Unassigned
29088,,Unassigned
29089,,Unassigned
29090,,Unassigned
29091,,Unassigned
29092,,Unassigned
29093,,Unassigned
29094,,Unassigned
29095,,Unassigned
29096,,Unassigned
29097,,Unassigned
29098,,Unassigned
29099,,Unassigned
29100,,Unassigned
29101,,Unassigned
29102,,Unassigned
29103,,Unassigned
29104,,Unassigned
29105,,Unassigned
29106,,Unassigned
29107,,Unassigned
29108,,Unassigned
29109,,Unassigned
29110,,Unassigned
29111,,Unassigned
29112,,Unassigned
29113,,Unassigned
29114,,Unassigned
29115,,Unassigned
29116,,Unassigned
29117,,Unassigned
29118,sgsap,SGsAP in 3GPP
29119,,Unassigned
29120,,Unassigned
29121,,Unassigned
29122,,Unassigned
29123,,Unassigned
29124,,Unassigned
29125,,Unassigned
29126,,Unassigned
29127,,Unassigned
29128,,Unassigned
29129,,Unassigned
29130,,Unassigned
29131,,Unassigned
29132,,Unassigned
29133,,Unassigned
29134,,Unassigned
29135,,Unassigned
29136,,Unassigned
29137,,Unassigned
29138,,Unassigned
29139,,Unassigned
29140,,Unassigned
29141,,Unassigned
29142,,Unassigned
29143,,Unassigned
29144,,Unassigned
29145,,Unassigned
29146,,Unassigned
29147,,Unassigned
29148,,Unassigned
29149,,Unassigned
29150,,Unassigned
29151,,Unassigned
